000753;3;837
000793;32;321
000793;32;534
000793;32;836
000793;32;837
000795;26;5844
000795;26;588
000819;27;1058
000819;27;836
000820;31;548
000821;25;1075
000821;25;1172
000821;37;7588
000821;37;7589
000834;74;101
000834;74;27
000834;74;321
000834;74;328
000834;74;61
000834;74;836
000834;74;838
000836;36;596
000839;61;101
000839;61;328
000839;61;533
000839;61;74
000839;61;836
000841;45;34
000841;45;740
000858;21;3480
000858;21;739
000874;3;116
000874;3;836
000874;3;838
000877;19;1171
000928;26;5844
000928;26;588
000931;32;534
000931;32;836
000941;37;7588
000941;37;7589
000942;27;836
000953;31;548
000960;36;596
000961;45;34
000961;45;740
000962;74;101
000962;74;321
000962;74;533
000962;74;61
000962;74;836
000964;61;101
000964;61;534
000964;61;74
000964;61;836
000984;21;3480
000984;21;739
000999;3;321
000999;3;534
000999;3;836
001005;19;1171
001005;19;576
001059;26;5844
001059;26;588
001059;32;3
001059;32;321
001059;32;533
001059;32;568
001059;32;836
001059;32;837
001071;27;840
001081;25;321
001081;25;568
001081;25;585
001081;25;836
001081;25;838
001082;45;34
001082;45;740
001082;45;742
001084;36;328
001084;36;596
001087;61;101
001087;61;18
001087;61;534
001087;61;568
001087;61;74
001087;61;836
001089;31;548
001089;74;101
001089;74;18
001089;74;61
001089;74;836
001120;21;3480
001120;21;739
001133;19;1171
001135;3;18
001135;3;32
001135;3;321
001135;3;533
001135;3;534
001135;3;836
001135;3;837
001141;34;45
001144;34;740
001182;26;5844
001182;26;588
001193;18;101
001193;18;320
001193;18;321
001193;18;37
001193;18;568
001193;18;61
001193;18;74
001193;18;836
001193;18;840
001196;32;25
001196;32;321
001196;32;533
001196;32;534
001196;32;568
001196;32;836
001196;32;837
001196;32;840
001200;24;5613
001204;36;328
001204;36;596
001206;27;1058
001206;27;836
001206;45;34
001206;45;740
001211;31;548
001212;25;3
001212;25;32
001212;25;533
001212;25;534
001212;25;568
001212;25;836
001212;25;837
001212;25;840
001213;61;101
001213;61;18
001213;61;3
001213;61;534
001213;61;74
001213;61;836
001213;61;840
001214;37;61
001223;74;101
001223;74;18
001223;74;3
001223;74;568
001223;74;61
001240;21;3480
001240;21;739
001266;3;25
001266;3;32
001266;3;533
001266;3;534
001266;3;568
001266;3;836
001266;3;837
001273;19;1171
001273;19;576
001284;34;740
001288;34;45
001313;26;5844
001313;26;588
001324;32;3
001324;32;533
001324;32;836
001324;32;837
001324;32;840
001330;18;101
001330;18;321
001330;18;534
001330;18;74
001330;18;836
001330;18;840
001335;25;3
001335;25;321
001335;25;534
001335;25;836
001336;36;328
001336;36;37
001337;31;548
001337;31;6526
001338;27;836
001340;45;34
001340;45;740
001346;61;101
001346;61;3
001346;61;321
001346;61;74
001346;61;836
001346;61;840
001358;74;101
001358;74;18
001358;74;321
001358;74;534
001358;74;568
001358;74;61
001358;74;75
001358;74;836
001358;74;840
001378;21;3480
001378;21;739
001393;3;321
001393;3;533
001393;3;534
001393;3;61
001393;3;836
001411;19;1171
001413;34;116
001413;34;45
001413;34;740
001437;26;5844
001437;26;588
001447;24;5612
001454;18;568
001454;18;61
001454;18;74
001454;18;75
001454;18;836
001455;32;533
001455;32;837
001460;36;328
001460;36;37
001464;27;61
001469;31;548
001476;25;321
001483;61;101
001483;61;18
001483;61;36
001483;61;533
001483;61;534
001483;61;568
001483;61;74
001483;61;75
001483;61;836
001489;74;101
001489;74;36
001489;74;534
001489;74;568
001489;74;61
001489;74;75
001489;74;836
001489;74;840
001519;21;3480
001519;21;739
001523;3;321
001523;3;534
001523;3;837
001533;58;7779
001533;58;9697
001533;58;9699
001537;34;740
001538;19;1171
001544;34;45
001573;26;5844
001573;26;588
001584;45;116
001584;45;34
001585;24;5613
001586;18;533
001586;18;839
001586;18;840
001593;32;25
001593;32;533
001593;32;837
001593;32;839
001594;27;533
001594;27;61
001597;36;568
001597;36;61
001597;36;74
001598;36;101
001598;36;75
001598;36;836
001604;25;18
001604;25;321
001608;31;548
001610;61;101
001610;61;18
001610;61;27
001610;61;3
001610;61;36
001610;61;45
001610;61;74
001610;61;75
001610;61;836
001610;61;839
001629;74;101
001629;74;18
001629;74;34
001629;74;45
001629;74;568
001629;74;75
001629;74;836
001629;74;839
001629;74;840
001643;3;32
001643;3;321
001643;3;533
001643;3;61
001643;3;837
001643;3;839
001643;3;840
001652;21;3480
001652;21;739
001659;58;7779
001659;58;9697
001659;58;9699
001675;19;1171
001675;19;576
001684;34;74
001692;34;45
001701;26;5844
001710;34;61
001713;34;836
001720;18;45
001720;18;61
001720;18;836
001720;18;838
001723;45;101
001723;45;18
001723;45;27
001723;45;34
001723;45;533
001723;45;534
001723;45;568
001723;45;61
001723;45;75
001723;45;836
001723;45;839
001723;45;840
001725;36;61
001725;36;74
001725;36;836
001728;25;321
001729;34;101
001745;61;101
001745;61;34
001745;61;45
001745;61;534
001745;61;568
001745;61;729
001745;61;74
001745;61;75
001745;61;836
001760;74;101
001760;74;18
001760;74;34
001760;74;45
001760;74;534
001760;74;568
001760;74;75
001760;74;836
